id,tr_sentence,de_translation,de_prompt,level,topic,subtopic,grammar_focus,difficulty,tr_tokens,cloze_tr,cloze_answer,alt_translations_de,register,tags
satz_0011,"İşe gitmeden önce spor yaparım.","Bevor ich zur Arbeit gehe, mache ich Sport.","Sport vor der Arbeit",B1,alltag,tagesablauf,zarf_fiil,hard,"İşe | gitmeden | önce | spor | yaparım | .","İşe ___ önce spor yaparım.",gitmeden,"Ich treibe Sport, bevor ich arbeite.",neutral,"gesundheit,routine"
satz_0012,"Havadan sudan konuştuk.","Wir haben über Gott und die Welt geredet.","Über Belangloses reden",B1,alltag,smalltalk,idiom,medium,"Havadan | sudan | konuştuk | .","___ sudan konuştuk.",Havadan,"Wir haben Smalltalk gemacht.",umgangssprachlich,"plaudern,freunde"
satz_0013,"Randevumu iptal etmek zorundayım.","Ich muss meinen Termin absagen.","Termin absagen",B1,alltag,termine,muss_form,medium,"Randevumu | iptal | etmek | zorundayım | .","Randevumu iptal etmek ___ .",zorundayım,"Ich bin gezwungen, den Termin abzusagen.",formell,"absage,wichtig"
satz_0014,"Zamanın nasıl geçtiğini anlamadım.","Ich habe nicht gemerkt, wie die Zeit vergangen ist.","Zeit vergeht schnell",B2,alltag,uhrzeit,relativsatz,hard,"Zamanın | nasıl | geçtiğini | anlamadım | .","Zamanın nasıl ___ anlamadım.",geçtiğini,"Wie die Zeit verflogen ist, weiß ich nicht.",neutral,"erstaunen,zeitgefuehl"
satz_0015,"Fırtına yüzünden uçuşlar iptal edildi.","Wegen des Sturms wurden die Flüge gestrichen.","Flüge wegen Sturm gestrichen",B2,alltag,wetter,passiv,hard,"Fırtına | yüzünden | uçuşlar | iptal | edildi | .","Fırtına yüzünden uçuşlar iptal ___ .",edildi,"Die Flüge wurden sturmbedingt annulliert.",formell,"flughafen,gefahr"
satz_0016,"Benim adım Ali.","Mein Name ist Ali.","Name Ali",A1,familie,vorstellung,pronomen,easy,"Benim | adım | Ali | .","Benim ___ Ali.",adım,"Ich heiße Ali.",neutral,"kennenlernen,ich"
satz_0017,"Bu benim ablam.","Das ist meine ältere Schwester.","Meine Schwester",A1,familie,verwandtschaft,possessiv,easy,"Bu | benim | ablam | .","Bu benim ___ .",ablam,"Dies ist meine Schwester.",neutral,"geschwister,familie"
satz_0018,"Evi temizliy orum.","Ich putze das Haus.","Haus putzen",A1,familie,haushalt,y_or,easy,"Evi | temizliyorum | .","Evi ___ .",temizliyorum,"Ich mache die Wohnung sauber.",neutral,"putzen,wohnen"
satz_0019,"Çocuğum okula gidiyor.","Mein Kind geht zur Schule.","Kind in Schule",A1,familie,kinder,dativ,easy,"Çocuğum | okula | gidiyor | .","Çocuğum ___ gidiyor.",okula,"Mein Kind ist in der Schule.",neutral,"bildung,sohn"
satz_0020,"Misafir geliyor.","Besuch kommt.","Besuch kommt",A1,familie,besuche,y_or,easy,"Misafir | geliyor | .","___ geliyor.",Misafir,"Wir bekommen Gäste.",neutral,"gaeste,zuhause"
satz_0021,"Ben bir öğretmenim.","Ich bin ein Lehrer.","Lehrer sein",A1,familie,vorstellung,kopula,easy,"Ben | bir | öğretmenim | .","Ben bir ___ .",öğretmenim,"Ich arbeite als Lehrer.",neutral,"beruf,ich"
satz_0022,"Amcam Almanya'da yaşıyor.","Mein Onkel lebt in Deutschland.","Onkel in Deutschland",A2,familie,verwandtschaft,lokativ,medium,"Amcam | Almanya'da | yaşıyor | .","Amcam Almanya'da ___ .",yaşıyor,"Mein Onkel wohnt in Deutschland.",neutral,"ausland,leben"
satz_0023,"Bulaşıkları kim yıkayacak?","Wer wird das Geschirr spülen?","Geschirr spülen",A2,familie,haushalt,futur,medium,"Bulaşıkları | kim | yıkayacak | ?","Bulaşıkları kim ___ ?",yıkayacak,"Wer wäscht ab?",neutral,"kueche,frage"
satz_0024,"Bebek gece ağladı.","Das Baby hat nachts geweint.","Baby weinte",A2,familie,kinder,vergangenheit,easy,"Bebek | gece | ağladı | .","Bebek gece ___ .",ağladı,"Das Baby weinte in der Nacht.",neutral,"schlaf,laut"
satz_0025,"Ailemi ziyaret edeceğim.","Ich werde meine Familie besuchen.","Familie besuchen",A2,familie,besuche,futur,medium,"Ailemi | ziyaret | edeceğim | .","Ailemi ziyaret ___ .",edeceğim,"Ich besuche meine Familie.",neutral,"reise,wochenende"
satz_0026,"Kendimi tanıtmama izin verin.","Erlauben Sie mir, mich vorzustellen.","Sich vorstellen",B1,familie,vorstellung,infinitiv,hard,"Kendimi | tanıtmama | izin | verin | .","Kendimi ___ izin verin.",tanıtmama,"Lassen Sie mich mich vorstellen.",formell,"hoeflich,anfang"
satz_0027,"Kuzenlerimle tatilde buluşuruz.","Wir treffen uns im Urlaub mit meinen Cousins.","Cousins treffen",B1,familie,verwandtschaft,aorist,medium,"Kuzenlerimle | tatilde | buluşuruz | .","Kuzenlerimle tatilde ___ .",buluşuruz,"Ich treffe meine Cousins im Urlaub.",neutral,"sommer,familie"
satz_0028,"Çamaşırları elde yıkadım.","Ich habe die Wäsche mit der Hand gewaschen.","Wäsche Handwäsche",B1,familie,haushalt,vergangenheit,medium,"Çamaşırları | elde | yıkadım | .","Çamaşırları elde ___ .",yıkadım,"Die Wäsche wusch ich per Hand.",neutral,"kleidung,bad"
satz_0029,"Ergenlik çağındaki çocuklarla konuşmak zordur.","Es ist schwer, mit Kindern in der Pubertät zu sprechen.","Mit Teenagern sprechen",B2,familie,kinder,adjektiv,hard,"Ergenlik | çağındaki | çocuklarla | konuşmak | zordur | .","Ergenlik çağındaki çocuklarla konuşmak ___ .",zordur,"Die Kommunikation mit Teenagern ist schwierig.",neutral,"alter,psychologie"
satz_0030,"Akrabalık bağlarını güçlü tutmalıyız.","Wir müssen die familiären Bindungen stark halten.","Familienbande stärken",B2,familie,besuche,necessitativ,hard,"Akrabalık | bağlarını | güçlü | tutmalıyız | .","Akrabalık bağlarını güçlü ___ .",tutmalıyız,"Familienzusammenhalt muss gepflegt werden.",formell,"tradition,wichtig"
satz_0031,"Ben ofiste çalışıyorum.","Ich arbeite im Büro.","Im Büro arbeiten",A1,arbeit,buero,y_or,easy,"Ben | ofiste | çalışıyorum | .","Ben ofiste ___ .",çalışıyorum,"Ich bin im Büro tätig.",neutral,"job,schreibtisch"
satz_0032,"Toplantı ne zaman?","Wann ist das Meeting?","Wann Meeting",A1,arbeit,meeting,frage,easy,"Toplantı | ne | zaman | ?","Toplantı ne ___ ?",zaman,"Wann findet die Besprechung statt?",neutral,"uhrzeit,buero"
satz_0033,"E-posta gönderdim.","Ich habe eine E-Mail gesendet.","E-Mail gesendet",A1,arbeit,kommunikation,vergangenheit,easy,"E-posta | gönderdim | .","E-posta ___ .",gönderdim,"Die Mail ist raus.",neutral,"nachricht,internet"
satz_0034,"İş arıyorum.","Ich suche Arbeit.","Arbeit suchen",A1,arbeit,bewerbung,y_or,easy,"İş | arıyorum | .","İş ___ .",arıyorum,"Ich bin auf Jobsuche.",neutral,"karriere,neu"
satz_0035,"Bu benim işim.","Das ist meine Arbeit.","Meine Arbeit",A1,arbeit,aufgaben,possessiv,easy,"Bu | benim | işim | .","Bu benim ___ .",işim,"Das ist mein Job.",neutral,"verantwortung,ich"
satz_0036,"Bilgisayarım çalışmıyor.","Mein Computer funktioniert nicht.","PC kaputt",A2,arbeit,buero,negation_degil,medium,"Bilgisayarım | çalışmıyor | .","Bilgisayarım ___ .",çalışmıyor,"Mein Rechner geht nicht.",neutral,"technik,problem"
satz_0037,"Toplantıya geç kalacağım.","Ich werde zu spät zum Meeting kommen.","Verspätung Meeting",A2,arbeit,meeting,futur,medium,"Toplantıya | geç | kalacağım | .","Toplantıya geç ___ .",kalacağım,"Ich verspäte mich zur Besprechung.",neutral,"zeit,entschuldigung"
satz_0038,"Müdürle konuşmam lazım.","Ich muss mit dem Manager sprechen.","Mit Manager reden",A2,arbeit,kommunikation,muss_form,medium,"Müdürle | konuşmam | lazım | .","Müdürle konuşmam ___ .",lazım,"Ich brauche ein Gespräch mit dem Chef.",neutral,"chef,wichtig"
satz_0039,"Özgeçmişimi hazırladım.","Ich habe meinen Lebenslauf vorbereitet.","Lebenslauf fertig",A2,arbeit,bewerbung,vergangenheit,medium,"Özgeçmişimi | hazırladım | .","___ hazırladım.",Özgeçmişimi,"Mein CV ist bereit.",neutral,"papier,suche"
satz_0040,"Raporu yarına bitirmeliyim.","Ich muss den Bericht bis morgen beenden.","Bericht bis morgen",A2,arbeit,aufgaben,necessitativ,medium,"Raporu | yarına | bitirmeliyim | .","Raporu yarına ___ .",bitirmeliyim,"Der Report muss morgen fertig sein.",neutral,"stress,deadline"
satz_0041,"Yeni ofisimiz merkeze yakın.","Unser neues Büro ist in der Nähe des Zentrums.","Neues Büro zentral",B1,arbeit,buero,lokativ,medium,"Yeni | ofisimiz | merkeze | yakın | .","Yeni ofisimiz merkeze ___ .",yakın,"Wir haben ein zentrales neues Büro.",neutral,"stadt,ort"
satz_0042,"Gündemi herkese gönderdim.","Ich habe die Tagesordnung an alle geschickt.","Agenda verschickt",B1,arbeit,meeting,dativ,medium,"Gündemi | herkese | gönderdim | .","Gündemi herkese ___ .",gönderdim,"Jeder hat die Agenda erhalten.",neutral,"plan,team"
satz_0043,"Etkili iletişim başarının anahtarıdır.","Effektive Kommunikation ist der Schlüssel zum Erfolg.","Kommunikation ist wichtig",B1,arbeit,kommunikation,genitiv,hard,"Etkili | iletişim | başarının | anahtarıdır | .","Etkili iletişim başarının ___ .",anahtarıdır,"Gute Kommunikation bringt Erfolg.",formell,"regel,karriere"
satz_0044,"Mülakat sırasında çok heyecanlandım.","Ich war während des Vorstellungsgesprächs sehr aufgeregt.","Nervös im Interview",B2,arbeit,bewerbung,postposition,hard,"Mülakat | sırasında | çok | heyecanlandım | .","Mülakat ___ çok heyecanlandım.",sırasında,"Beim Interview war ich total nervös.",neutral,"gefuehl,job"
satz_0045,"Zamanı verimli kullanmak zordur.","Es ist schwer, die Zeit effizient zu nutzen.","Zeit effizient nutzen",B2,arbeit,aufgaben,infinitiv,hard,"Zamanı | verimli | kullanmak | zordur | .","Zamanı verimli kullanmak ___ .",zordur,"Zeitmanagement ist eine Herausforderung.",neutral,"planung,projekt"
satz_0046,"Pasaportum burada.","Mein Reisepass ist hier.","Pass hier",A1,reisen,flughafen,lokativ,easy,"Pasaportum | burada | .","Pasaportum ___ .",burada,"Hier ist mein Pass.",neutral,"dokument,grenze"
satz_0047,"Bir oda istiyorum.","Ich möchte ein Zimmer.","Zimmer bitte",A1,reisen,hotel,y_or,easy,"Bir | oda | istiyorum | .","Bir oda ___ .",istiyorum,"Ich hätte gerne ein Zimmer.",neutral,"schlafen,urlaub"
satz_0048,"Tren nerede?","Wo ist der Zug?","Wo Zug",A1,reisen,bahn,frage,easy,"Tren | nerede | ?","Tren ___ ?",nerede,"Wo fährt der Zug?",neutral,"bahnhof,gleis"
satz_0049,"Tuvalet nerede?","Wo ist die Toilette?","Wo Toilette",A1,reisen,wegbeschreibung,frage,easy,"Tuvalet | nerede | ?","Tuvalet ___ ?",nerede,"Können Sie mir sagen, wo das Klo ist?",neutral,"dringend,ort"
satz_0050,"Hesap lütfen.","Die Rechnung bitte.","Rechnung bitte",A1,reisen,restaurant,ausruf,easy,"Hesap | lütfen | .","___ lütfen.",Hesap,"Wir möchten zahlen.",neutral,"geld,essen"
satz_0051,"Uçağım saat beşte.","Mein Flug ist um fünf Uhr.","Flug um fünf",A2,reisen,flughafen,lokativ,easy,"Uçağım | saat | beşte | .","Uçağım saat ___ .",beşte,"Ich fliege um fünf.",neutral,"zeit,abflug"
satz_0052,"Kahvaltı dahil mi?","Ist das Frühstück inklusive?","Frühstück dabei",A2,reisen,hotel,fragepartikel,medium,"Kahvaltı | dahil | mi | ?","Kahvaltı dahil ___ ?",mi,"Gehört Frühstück dazu?",neutral,"morgen,essen"
satz_0053,"Bilet gişesi açık mı?","Ist der Fahrkartenschalter offen?","Schalter offen",A2,reisen,bahn,fragepartikel,medium,"Bilet | gişesi | açık | mı | ?","Bilet gişesi açık ___ ?",mı,"Haben die Kassen geöffnet?",neutral,"kaufen,ticket"
satz_0054,"Hastaneye nasıl giderim?","Wie komme ich zum Krankenhaus?","Weg zum Krankenhaus",A2,reisen,wegbeschreibung,aorist,medium,"Hastaneye | nasıl | giderim | ?","Hastaneye nasıl ___ ?",giderim,"Wo geht's zum Krankenhaus?",neutral,"richtung,hilfe"
satz_0055,"Masa ayırtmak istiyorum.","Ich möchte einen Tisch reservieren.","Tisch reservieren",A2,reisen,restaurant,infinitiv,medium,"Masa | ayırtmak | istiyorum | .","Masa ayırtmak ___ .",istiyorum,"Ich brauche eine Reservierung.",neutral,"platz,abend"
satz_0056,"Bagaj alanını bulamıyorum.","Ich kann die Gepäckausgabe nicht finden.","Gepäckausgabe suchen",B1,reisen,flughafen,negation,medium,"Bagaj | alanını | bulamıyorum | .","Bagaj alanını ___ .",bulamıyorum,"Wo ist die Gepäckrückgabe?",neutral,"koffer,verloren"
satz_0057,"Rezervasyonumu uzatmak mümkün mü?","Ist es möglich, meine Reservierung zu verlängern?","Reservierung verlängern",B1,reisen,hotel,frage,hard,"Rezervasyonumu | uzatmak | mümkün | mü | ?","Rezervasyonumu uzatmak mümkün ___ ?",mü,"Kann ich länger bleiben?",formell,"bleiben,zimmer"
satz_0058,"Hızlı tren daha ucuz.","Der Schnellzug ist billiger.","Schnellzug billiger",B1,reisen,bahn,komparativ,medium,"Hızlı | tren | daha | ucuz | .","Hızlı tren ___ ucuz.",daha,"ICE fahren kostet weniger.",neutral,"preis,fahrt"
satz_0059,"Meydanı geçip sağa dönün.","Überqueren Sie den Platz und biegen Sie rechts ab.","Platz dann rechts",B2,reisen,wegbeschreibung,zarf_fiil,hard,"Meydanı | geçip | sağa | dönün | .","Meydanı geçip sağa ___ .",dönün,"Nach dem Platz rechts abbiegen.",formell,"richtung,stadt"
satz_0060,"Garson bize detaylı bilgi verdi.","Der Kellner gab uns detaillierte Informationen.","Kellner informierte",B2,reisen,restaurant,vergangenheit,medium,"Garson | bize | detaylı | bilgi | verdi | .","Garson bize detaylı bilgi ___ .",verdi,"Wir wurden gut vom Kellner beraten.",neutral,"menue,service"
satz_0061,"Süt almak istiyorum.","Ich möchte Milch kaufen.","Milch kaufen",A1,einkaufen,supermarkt,infinitiv,easy,"Süt | almak | istiyorum | .","Süt almak ___ .",istiyorum,"Ich brauche Milch.",neutral,"getraenk,laden"
satz_0062,"Bu gömlek çok güzel.","Dieses Hemd ist sehr schön.","Schönes Hemd",A1,einkaufen,kleidung,adjektiv,easy,"Bu | gömlek | çok | güzel | .","Bu gömlek çok ___ .",güzel,"Das Hemd gefällt mir.",neutral,"mode,tragen"
satz_0063,"Bu ne kadar?","Wie viel kostet das?","Preis fragen",A1,einkaufen,preis,frage,easy,"Bu | ne | kadar | ?","Bu ne ___ ?",kadar,"Was kostet das?",neutral,"geld,kaufen"
satz_0064,"Nakit ödeyeceğim.","Ich werde bar bezahlen.","Bar zahlen",A1,einkaufen,bezahlen,futur,easy,"Nakit | ödeyeceğim | .","Nakit ___ .",ödeyeceğim,"Ich zahle mit Bargeld.",neutral,"kasse,geld"
satz_0065,"Elma taze mi?","Sind die Äpfel frisch?","Äpfel frisch",A1,einkaufen,markt,fragepartikel,easy,"Elma | taze | mi | ?","Elma taze ___ ?",mi,"Ist der Apfel frisch?",neutral,"obst,lecker"
satz_0066,"Alışveriş arabası nerede?","Wo ist der Einkaufswagen?","Einkaufswagen wo",A2,einkaufen,supermarkt,frage,easy,"Alışveriş | arabası | nerede | ?","Alışveriş arabası ___ ?",nerede,"Haben Sie Einkaufswagen?",neutral,"tragen,laden"
satz_0067,"Büyük bedeni var mı?","Gibt es das in einer größeren Größe?","Größer da?",A2,einkaufen,kleidung,fragepartikel,medium,"Büyük | bedeni | var | mı | ?","Büyük bedeni var ___ ?",mı,"Haben Sie eine Nummer größer?",neutral,"passen,anziehen"
satz_0068,"İndirim yapıyor musunuz?","Machen Sie einen Rabatt?","Rabatt möglich?",A2,einkaufen,preis,y_or,medium,"İndirim | yapıyor | musunuz | ?","İndirim yapıyor ___ ?",musunuz,"Gibt es Nachlass?",neutral,"feilschen,guenstig"
satz_0069,"Kredi kartı geçiyor mu?","Wird Kreditkarte akzeptiert?","Kreditkarte möglich?",A2,einkaufen,bezahlen,y_or,medium,"Kredi | kartı | geçiyor | mu | ?","Kredi kartı geçiyor ___ ?",mu,"Kann ich mit Karte zahlen?",neutral,"plastik,kasse"
satz_0070,"İki kilo domates lütfen.","Zwei Kilo Tomaten bitte.","Zwei Kilo Tomaten",A2,einkaufen,markt,bitte,easy,"İki | kilo | domates | lütfen | .","İki kilo ___ lütfen.",domates,"Ich nehme zwei Kilo Tomaten.",neutral,"gemuese,waage"
satz_0071,"Organik reyonu nerede?","Wo ist die Bio-Abteilung?","Bio Abteilung suchen",B1,einkaufen,supermarkt,lokativ,medium,"Organik | reyonu | nerede | ?","Organik reyonu ___ ?",nerede,"Ich suche Bio-Produkte.",neutral,"gesund,essen"
satz_0072,"Kabini kullanabilir miyim?","Darf ich die Umkleidekabine benutzen?","Umkleide nutzen",B1,einkaufen,kleidung,moeglichkeit,medium,"Kabini | kullanabilir | miyim | ?","Kabini kullanabilir ___ ?",miyim,"Wo kann ich das anprobieren?",neutral,"probieren,raum"
satz_0073,"Fiyatlar çok artmış.","Die Preise sind sehr gestiegen.","Preise gestiegen",B1,einkaufen,preis,mis_vergangenheit,medium,"Fiyatlar | çok | artmış | .","Fiyatlar çok ___ .",artmış,"Alles ist teurer geworden.",neutral,"inflation,teuer"
satz_0074,"Temassız ödeme çalışmıyor.","Das kontaktlose Bezahlen funktioniert nicht.","Kontaktlos kaputt",B2,einkaufen,bezahlen,negation,hard,"Temassız | ödeme | çalışmıyor | .","Temassız ödeme ___ .",çalışmıyor,"Kontaktlos geht leider nicht.",neutral,"technik,karte"
satz_0075,"Esnaf yarışıyordu.","Die Händler wetteiferten miteinander.","Händler Wettkampf",B2,einkaufen,markt,y_or,hard,"Esnaf | yarışıyordu | .","___ yarışıyordu.",Esnaf,"Die Verkäufer überboten sich.",neutral,"laut,verkauf"
satz_0076,"Ben hastayım.","Ich bin krank.","Ich krank",A1,gesundheit,arzt,kopula,easy,"Ben | hastayım | .","Ben ___ .",hastayım,"Mir geht es schlecht.",neutral,"schlecht,fuehlen"
satz_0077,"Eczane nerede?","Wo ist die Apotheke?","Apotheke wo",A1,gesundheit,apotheke,frage,easy,"Eczane | nerede | ?","___ nerede?",Eczane,"Wo gibt es Medikamente?",neutral,"medizin,kaufen"
satz_0078,"Başım ağrıyor.","Mein Kopf tut weh.","Kopfschmerzen",A1,gesundheit,symptome,y_or,easy,"Başım | ağrıyor | .","Başım ___ .",ağrıyor,"Ich habe Kopfschmerzen.",neutral,"schmerz,kopf"
satz_0079,"Ambulans çağırın!","Rufen Sie einen Krankenwagen!","Krankenwagen rufen",A1,gesundheit,notfall,imperativ,easy,"Ambulans | çağırın | !","Ambulans ___ !",çağırın,"Holen Sie Hilfe!",formell,"gefahr,schnell"
satz_0080,"İlaç lazım.","Medizin wird benötigt.","Medizin nötig",A1,gesundheit,beratung,adjektiv,easy,"İlaç | lazım | .","İlaç ___ .",lazım,"Ich brauche Medikamente.",neutral,"pille,gesund"
satz_0081,"Doktordan randevu aldım.","Ich habe einen Arzttermin gemacht.","Arzttermin gemacht",A2,gesundheit,arzt,vergangenheit,medium,"Doktordan | randevu | aldım | .","Doktordan randevu ___ .",aldım,"Ich bin beim Arzt angemeldet.",neutral,"termin,krank"
satz_0082,"Nöbetçi eczane arıyorum.","Ich suche eine Notdienstapotheke.","Notapotheke suchen",A2,gesundheit,apotheke,y_or,medium,"Nöbetçi | eczane | arıyorum | .","Nöbetçi eczane ___ .",arıyorum,"Wo ist hier Notdienst?",neutral,"nacht,medizin"
satz_0083,"Ateşim var.","Ich habe Fieber.","Ich habe Fieber",A2,gesundheit,symptome,var_yok,easy,"Ateşim | var | .","Ateşim ___ .",var,"Mir ist heiß.",neutral,"heiss,krankheit"
satz_0084,"Durum acil.","Die Situation ist dringend.","Dringend",A2,gesundheit,notfall,adjektiv,easy,"Durum | acil | .","Durum ___ .",acil,"Es ist ein Notfall.",neutral,"schnell,wichtig"
satz_0085,"Çok su içmeliyim.","Ich muss viel Wasser trinken.","Viel Wasser trinken",A2,gesundheit,beratung,necessitativ,medium,"Çok | su | içmeliyim | .","Çok su ___ .",içmeliyim,"Trinken ist wichtig.",neutral,"gesund,durst"
satz_0086,"Kan tahlili sonuçlarım nerede?","Wo sind meine Bluttest-Ergebnisse?","Bluttest Ergebnisse",B1,gesundheit,arzt,frage,medium,"Kan | tahlili | sonuçlarım | nerede | ?","Kan tahlili sonuçlarım ___ ?",nerede,"Haben Sie mein Blutbild?",neutral,"labor,warten"
satz_0087,"Sigorta karşılıyor mu?","Übernimmt das die Versicherung?","Versicherung zahlt?",B1,gesundheit,apotheke,fragepartikel,medium,"Sigorta | karşılıyor | mu | ?","Sigorta karşılıyor ___ ?",mu,"Zahlt das die Kasse?",neutral,"geld,rezept"
satz_0088,"Midem bulanıyor.","Mir ist schlecht.","Mir übel",B1,gesundheit,symptome,y_or,medium,"Midem | bulanıyor | .","Midem ___ .",bulanıyor,"Ich habe Übelkeit.",neutral,"bauch,schmerz"
satz_0089,"İlk müdahale yapıldı.","Die Erste Hilfe wurde geleistet.","Erste Hilfe geleistet",B2,gesundheit,notfall,passiv,hard,"İlk | müdahale | yapıldı | .","İlk müdahale ___ .",yapıldı,"Man hat sie sofort versorgt.",formell,"unfall,rettung"
satz_0090,"Düzenli egzersiz faydalıdır.","Regelmäßige Bewegung ist nützlich.","Bewegung gut",B2,gesundheit,beratung,adjektiv,hard,"Düzenli | egzersiz | faydalıdır | .","Düzenli egzersiz ___ .",faydalıdır,"Sport hilft der Gesundheit.",neutral,"sport,tipp"
satz_0091,"Futbol oynuyorum.","Ich spiele Fußball.","Fußball spielen",A1,freizeit,sport,y_or,easy,"Futbol | oynuyorum | .","Futbol ___ .",oynuyorum,"Ich kicke gern.",neutral,"ball,rasen"
satz_0092,"Resim yapıyorum.","Ich male Bilder.","Bilder malen",A1,freizeit,hobby,y_or,easy,"Resim | yapıyorum | .","Resim ___ .",yapıyorum,"Ich zeichne.",neutral,"kunst,farben"
satz_0093,"Film çok güzel.","Der Film ist sehr gut.","Film gut",A1,freizeit,kino,adjektiv,easy,"Film | çok | güzel | .","Film çok ___ .",güzel,"Toller Film.",neutral,"ansehen,leinwand"
satz_0094,"Müzik dinliyorum.","Ich höre Musik.","Musik hören",A1,freizeit,musik,y_or,easy,"Müzik | dinliyorum | .","Müzik ___ .",dinliyorum,"Ich höre mir Lieder an.",neutral,"klang,kopfhoerer"
satz_0095,"Bugün cumartesi.","Heute ist Samstag.","Heute Samstag",A1,freizeit,wochenende,nomen,easy,"Bugün | cumartesi | .","Bugün ___ .",cumartesi,"Es ist Samstag.",neutral,"tag,frei"
satz_0096,"Yüzmeyi seviyorum.","Ich schwimme gerne.","Schwimmen mögen",A1,freizeit,sport,akkusativ,easy,"Yüzmeyi | seviyorum | .","___ seviyorum.",Yüzmeyi,"Ich liebe Schwimmen.",neutral,"wasser,pool"
satz_0097,"Gitar çalıyorum.","Ich spiele Gitarre.","Gitarre spielen",A2,freizeit,hobby,y_or,easy,"Gitar | çalıyorum | .","Gitar ___ .",çalıyorum,"Ich mache Gitarrenmusik.",neutral,"instrument,lied"
satz_0098,"Hangi filme gidelim?","In welchen Film sollen wir gehen?","Welcher Film",A2,freizeit,kino,optativ,medium,"Hangi | filme | gidelim | ?","Hangi filme ___ ?",gidelim,"Was schauen wir uns an?",neutral,"auswahl,popcorn"
satz_0099,"Konser bileti aldım.","Ich habe ein Konzertticket gekauft.","Konzertticket gekauft",A2,freizeit,musik,vergangenheit,medium,"Konser | bileti | aldım | .","Konser bileti ___ .",aldım,"Ich habe Karten fürs Konzert.",neutral,"live,band"
satz_0100,"Hafta sonu ne yapacaksın?","Was machst du am Wochenende?","Wochenende Pläne",A2,freizeit,wochenende,futur,medium,"Hafta | sonu | ne | yapacaksın | ?","Hafta sonu ne ___ ?",yapacaksın,"Hast du am Wochenende was vor?",neutral,"plan,frage"
satz_0101,"Spor salonuna gidiyorum.","Ich gehe ins Fitnessstudio.","Fitnessstudio gehen",B1,freizeit,sport,dativ,medium,"Spor | salonuna | gidiyorum | .","Spor salonuna ___ .",gidiyorum,"Ich trainiere im Gym.",neutral,"kraft,gesund"
satz_0102,"Kursa yazılmayı planlıyorum.","Ich plane, mich für den Kurs anzumelden.","Kurs anmelden",B1,freizeit,hobby,infinitiv,hard,"Kursa | yazılmayı | planlıyorum | .","Kursa yazılmayı ___ .",planlıyorum,"Ich will einen Kurs belegen.",neutral,"lernen,neu"
satz_0103,"Film çok sıkıcıydı.","Der Film war sehr langweilig.","Film langweilig",B1,freizeit,kino,vergangenheit,medium,"Film | çok | sıkıcıydı | .","Film çok ___ .",sıkıcıydı,"Ich fand den Film öde.",neutral,"schlecht,zeit"
